id,state_id,name,address,city,zip,phone,services,website,source
,14,Women’s Med Indianapolis,1201 North Arlington Avenue,Indianapolis,46219,3173539371,"pill, clinic",https://www.womensmed.com/,https://www.abortionfinder.org/
,14,Clinic for Women,"3607 West 16th Street, Suite B-2",Indianapolis,46222,3179552641,"pill, clinic",https://www.abortionfinder.org/provider/109304,https://www.abortionfinder.org/
,14,Planned Parenthood - Georgetown Health Center,8590 Georgetown Road,Indianapolis,46268,3172058088,"pill, clinic",https://www.plannedparenthood.org/health-center/indiana/indianapolis/46268/georgetown-health-center-2870-91810,https://www.plannedparenthood.org/abortion-access?
,14,Planned Parenthood - Merrillville Health Center,8645 Connecticut Street,Merrillville,46410,3172058088,"pill, clinic",https://www.plannedparenthood.org/health-center/indiana/merrillville/46410/merrillville-health-center-2923-91810,https://www.plannedparenthood.org/abortion-access?
,14,Whole Womans Health of South Bend,3511 Lincoln Way West,South Bend,46628,5742322070,pill,https://www.wholewomanshealth.com/clinic/south-bend/,https://www.abortionfinder.org/
,14,Planned Parenthood - Bloomington Health Center,421 S College Ave,Bloomington,47403,3172058088,"pill, clinic",https://www.plannedparenthood.org/health-center/indiana/bloomington/47403/bloomington-health-center-2639-91810,https://www.plannedparenthood.org/abortion-access?
,14,Planned Parenthood - Lafayette Health Center,964 Mezzanine Dr.,Lafayette,47905,3172058088,pill,https://www.plannedparenthood.org/health-center/indiana/lafayette/47905/lafayette-health-center-2669-91810,https://www.plannedparenthood.org/abortion-access?
,16,Planned Parenthood - Wyandotte Health Center,6013 Leavenworth Road,Kansas City,66104,9132222308,"pill, clinic",https://www.plannedparenthood.org/health-center/kansas/kansas-city/66104/wyandotte-health-center-3744-90740,https://www.plannedparenthood.org/abortion-access?
,16,Planned Parenthood - Comprehensive Health Center,4401 W 109th Street #100,Overland Park,66211,9133451400,"pill, clinic",https://www.plannedparenthood.org/health-center/kansas/overland-park/66211/comprehensive-health-center-2594-90741,https://www.plannedparenthood.org/abortion-access?
,16,Center for Women’s Health,4840 College Boulevard,Overland Park,662211,9134916878,"pill, clinic",https://www.hodesnauser.com/,https://www.abortionfinder.org/
,16,Planned Parenthood - Wichita Health Center,2226 E Central,Wichita,67214,3162637575,"pill, clinic",https://www.plannedparenthood.org/health-center/kansas/wichita/67214/wichita-health-center-2876-90741,https://www.plannedparenthood.org/abortion-access?
,16,Trust Women Wichita,5107 East Kellogg Drive,Wichita,67218,3162606934,"pill, clinic",https://trustwomen.org/clinics/wichita/home,https://www.abortionfinder.org/
,31,Southwestern Women’s Options,522 Lomas Boulevard NE,Albuquerque,87102,5052427512,"pill, clinic",https://southwesternwomens.com/southwestern-womens-options-albuquerque-new-mexico/,https://www.abortionfinder.org/
,31,UNM Center for Reproductive Health,"2301 Yale Boulevard SE, Buidling E",Albuquerque,87106,5059254455,"pill, clinic",https://unmhealth.org/services/family-planning/,https://www.abortionfinder.org/
,31,Planned Parenthood - San Mateo,701 San Mateo NE,Albuquerque,87108,5052659511,"pill, clinic",https://www.plannedparenthood.org/health-center/new-mexico/albuquerque/87108/san-mateo-2956-90210,https://www.plannedparenthood.org/abortion-access?
,31,Alamo Women's Clinic of Albuquerque,"10151 Montgomery Blvd NE, Building 3, Unit B",Albuquerque,87111,8008217237,"pill, clinic",https://alamowomensclinic.com/,https://www.abortionfinder.org/
,31,Planned Parenthood - Santa Fe,"730 St. Michael's Drive, Suite 4B",Santa Fe,87505,5059823684,pill,https://www.plannedparenthood.org/health-center/new-mexico/santa-fe/87505/santa-fe-2801-90210,https://www.plannedparenthood.org/abortion-access?
,31,Full Circle Health Center,210 West Las Cruces Avenue,Las Cruces,88005,5752228594,"pill, call for clinic guidance",https://fullcirclehealthcenter.com/,https://www.abortionfinder.org/
,31,Women's Reproductive Clinic of New Mexico,"5290 McNutt Road, Suite 103",Santa Teresa,88008,5753329452,pill,https://www.reproductiveservices.com/,https://www.abortionfinder.org/
,31,Las Cruces Women’s Health Organization,2918 Hillrise Drive,Las Cruces,88011,5758884623,"pill, call for clinic guidance",https://lascruceswomenshealth.com/,https://www.abortionfinder.org/